population,edge_ids,@source_node,@target_node,efferent_section_id,efferent_surface_z,afferent_center_y,efferent_center_z,efferent_segment_id,afferent_surface_z,afferent_segment_id,afferent_center_z,efferent_surface_x,efferent_section_type,efferent_segment_offset,afferent_center_x,afferent_section_type,afferent_section_id,afferent_section_pos,afferent_surface_y,afferent_segment_offset,efferent_surface_y,afferent_surface_x,efferent_center_y,efferent_section_pos,efferent_center_x
V1_neurons__V1_neurons__chemical_synapse,2997519,19473,2636,151,8481.373,804.5707,8481.26,48,8482.396,49,8482.481,9179.977,2,0.6258016,9179.424,3,613,0.78168154,804.4763,0.15901095,803.49506,9179.472,803.3677,0.7739953,9180.0625
V1_neurons__V1_neurons__chemical_synapse,2997911,45243,2636,84,8496.062,850.482,8495.991,7,8496.603,40,8496.66,9186.055,2,3.1486564,9184.207,3,619,0.7717994,850.46454,0.94699347,850.2674,9184.358,850.2575,0.70560586,9186.232
V1_neurons__V1_neurons__chemical_synapse,2997912,45243,2636,176,8439.58,896.38336,8439.572,15,8438.884,43,8438.808,9160.4375,2,0.12456524,9161.459,3,588,0.99870425,896.4038,0.84668434,896.60754,9161.349,896.6544,0.97427136,9160.347
V1_neurons__V1_neurons__chemical_synapse,2997913,45243,2636,177,8440.75,895.43353,8440.821,3,8439.062,42,8438.934,9161.0205,2,0.13406137,9161.374,3,588,0.9766411,895.47076,0.96064603,895.92926,9161.347,895.98376,0.018393401,9160.971
V1_neurons__V1_neurons__chemical_synapse,2997914,45243,2636,178,8440.553,895.00507,8440.653,5,8439.19,42,8439.064,9161.776,2,0.517724,9161.4,3,588,0.96638685,895.04535,0.51206243,895.39294,9161.43,895.4503,0.04081384,9161.772
V1_neurons__V1_neurons__chemical_synapse,2997915,45243,2636,255,8458.956,861.4427,8458.785,29,8458.99,11,8459.169,9163.723,2,3.9162593,9163.705,3,593,0.20642062,861.3707,0.26576713,861.4113,9163.7,861.35693,0.44877675,9163.755
V1_neurons__V1_neurons__chemical_synapse,2997916,45243,2636,255,8458.535,834.544,8458.363,38,8459.388,4,8459.5,9171.014,2,3.5376747,9171.49,3,610,0.6947676,834.58984,1.0607449,834.91583,9171.425,834.9422,0.92999226,9170.936
V1_neurons__V1_neurons__chemical_synapse,2997917,45243,2636,277,8456.949,845.8478,8456.916,40,8457.123,11,8457.255,9159.709,2,0.0033447568,9158.653,3,633,0.5016549,845.9256,0.49354637,846.07275,9159.008,846.10297,0.66842544,9159.801
V1_neurons__V1_neurons__chemical_synapse,2997918,45243,2636,277,8458.561,836.73193,8458.67,46,8457.339,0,8457.258,9162.961,2,1.9041348,9164.786,3,617,0.0127175115,836.71014,0.5913146,836.4024,9164.669,836.37354,0.894367,9162.808
V1_neurons__V1_neurons__chemical_synapse,2997919,45243,2636,278,8459.863,857.89655,8459.879,39,8459.699,1,8459.685,9159.094,2,0.6132429,9160.645,3,591,0.06392033,857.85846,0.31463125,857.48804,9160.484,857.4539,0.70525247,9158.906
