population,node_ids,@dynamics:AIS_scaler,@dynamics:holding_current,@dynamics:threshold_current,etype,hemisphere,layer,model_template,morph_class,morphology,mtype,orientation_w,orientation_x,orientation_y,orientation_z,region,subregion,synapse_class,x,y,z,u,v,w
V1_neurons,2636,1.999870783084005,-0.042052005602499776,0.0447109375,cNAC,right,1,hoc:cNAC_L23BTC,INT,hashed/00/00ed387639d422228cfdcb2d1e0ca966,L1_HAC,1.0,0.0,0.0,0.0,VISp,VISp1,INH,9159.85641172727,849.6076590997865,8471.411101923097,0.23015110380743473,-0.8632473427056446,0.44925994115641193
V1_neurons,16297,1.083266336528774,-0.006020258845751414,0.0303125,cADpyr,right,2,hoc:cADpyr_L2IPC_4,PYR,hashed/f6/f6fe1bdac7e1ca22cd5d94ea60acd4e4,L2_TPC:B,1.0,0.0,0.0,0.0,VISp,VISp2,EXC,9142.949909093195,927.6008738955047,8416.164840439433,0.22985966021811025,-0.864498081663347,0.44699843781025445
V1_neurons,19473,0.9373011335994921,-0.003934351745726872,0.025765625,cADpyr,right,2,hoc:cADpyr_L2IPC_4,PYR,hashed/41/4197c0b891d6fccb53eb5dad461c98ca,L2_TPC:B,1.0,0.0,0.0,0.0,VISp,VISp2,EXC,9129.453698160363,938.6821909347501,8412.520124731142,0.22985966021811025,-0.864498081663347,0.44699843781025445
V1_neurons,45243,3.412109135202468,-0.04397289537365623,0.0424375,cACint,right,3,hoc:cACint_L23MC,INT,hashed/1b/1b88fea5c7f5611f5435eb7320c3669c,L23_NBC,1.0,0.0,0.0,0.0,VISp,VISp2,INH,9146.289262206132,883.9079499443611,8436.281623973156,0.22831226539938534,-0.8653166578181815,0.44620689278693676
V1_neurons,49867,3.5788423640791565,-0.04341960198388506,0.13034375,dNAC,right,3,hoc:dNAC_L23SBC_4,INT,hashed/9d/9d1202dc2b3fff83fc7d5dccaabb333c,L23_SBC,1.0,0.0,0.0,0.0,VISp,VISp2,INH,9140.717361993235,912.3790773032342,8426.266719967543,0.22990139181000144,-0.8640297475060255,0.44788161992707204
V1_neurons,54379,1.6177927979224171,-0.01288557530045864,0.040921875,cADpyr,right,3,hoc:cADpyr_L3TPC,PYR,hashed/2b/2b013d14234fc8996afce38c4cd2e383,L3_TPC:A,1.0,0.0,0.0,0.0,VISp,VISp3,EXC,9095.146114778569,1092.275592594897,8337.665634430852,0.2286788308109339,-0.865692424729966,0.4452893644632628
V1_neurons,55000,1.5132561658766666,-0.008822875987846146,0.0341015625,cADpyr,right,3,hoc:cADpyr_L3TPC,PYR,hashed/23/23e81b0919c31f9a18c6df4244f52785,L3_TPC:A,1.0,0.0,0.0,0.0,VISp,VISp3,EXC,9121.813230135946,981.5493180624701,8386.720090968214,0.22839732743262806,-0.8657859968577584,0.44525191573608125
V1_neurons,61708,1.491606767607697,-0.00906047911684027,0.03334375,cADpyr,right,3,hoc:cADpyr_L3TPC,PYR,hashed/9a/9ad12e81823935c50233705963c1b98d,L3_TPC:A,1.0,0.0,0.0,0.0,VISp,VISp3,EXC,9106.234251362142,1047.3617251828277,8354.631173378253,0.23026598178988042,-0.8645844594857008,0.4466220886232129
V1_neurons,62482,1.5623473798270793,-0.011717903460350954,0.037890625000000004,cADpyr,right,3,hoc:cADpyr_L3TPC,PYR,hashed/d2/d24283f765e6e3fcbee7571b4338fa69,L3_TPC:A,1.0,0.0,0.0,0.0,VISp,VISp3,EXC,9091.511434184496,1090.6051115974826,8333.323652526733,0.2286788308109339,-0.865692424729966,0.4452893644632628
V1_neurons,70578,1.4510157709039768,-0.008048529936388604,0.031070312499999996,cADpyr,right,3,hoc:cADpyr_L3TPC,PYR,hashed/29/29f8e8dfb3997b4a315802a07502099c,L3_TPC:C,1.0,0.0,0.0,0.0,VISp,VISp3,EXC,9133.104657044201,996.2681106689533,8389.060328742968,0.231641554527987,-0.8635285621411624,0.4479515739254347
