,mtype,morph_class,morphology
0,L1_HAC,INT,morphologies/morph0.asc
1,L2_TPC:B,PYR,morphologies/morph1.asc
2,L2_TPC:B,PYR,morphologies/morph2.asc
3,L23_NBC,INT,morphologies/morph3.asc
4,L23_SBC,INT,morphologies/morph4.asc
5,L3_TPC:A,PYR,morphologies/morph5.asc
6,L3_TPC:A,PYR,morphologies/morph6.asc
7,L3_TPC:A,PYR,morphologies/morph7.asc
8,L3_TPC:A,PYR,morphologies/morph8.asc
9,L3_TPC:C,PYR,morphologies/morph9.asc
10,L4_TPC,PYR,morphologies/morph10.asc
11,L4_UPC,PYR,morphologies/morph11.asc
12,L5_BP,INT,morphologies/morph12.asc
13,L5_LBC,INT,morphologies/morph13.asc
14,L5_MC,INT,morphologies/morph14.asc
15,L5_NBC,INT,morphologies/morph15.asc
16,L5_TPC:B,PYR,morphologies/morph16.asc
17,L6_BPC,PYR,morphologies/morph17.asc
18,L6_IPC,PYR,morphologies/morph18.asc
19,L6_LBC,INT,morphologies/morph19.asc
20,L6_LBC,INT,morphologies/morph20.asc
