,@source_node,@target_node,efferent_section_id,efferent_section_pos,afferent_section_id,afferent_section_pos
0,0,8,64,0.42818147,213,0.8873035
1,0,8,76,0.4680487,212,0.7457928
2,0,8,109,0.24927579,216,0.9706674
3,0,8,224,0.567864,207,0.08385031
4,0,8,367,0.17426835,206,0.51308453
5,0,8,480,0.646807,210,0.27173662
6,0,8,497,0.3511179,217,0.75902873
7,2,1,107,0.66044855,133,0.09734335
8,2,1,149,0.102336556,161,0.27292326
9,2,1,153,0.030046485,161,0.17655064
10,2,1,172,0.9258997,134,0.9757163
11,2,1,193,0.9486435,212,0.1719553
12,2,1,195,0.044423595,212,0.17598994
13,2,6,133,0.26951915,76,0.7573697
14,2,6,133,0.6171682,85,0.7849634
15,2,6,180,0.063430674,80,0.10848036
16,2,6,184,0.09525453,78,0.66607565
17,2,6,188,0.19291233,110,0.20539707
18,2,6,229,0.22907555,135,0.89221877
19,3,0,84,0.70560586,619,0.7717994
20,3,0,177,0.018393401,588,0.9766411
21,3,0,255,0.92999226,610,0.6947676
22,3,4,5,0.23134464,988,0.9530128
23,3,4,31,0.7708222,949,0.286336
24,3,4,125,0.70587385,1006,0.9562187
25,3,4,269,0.35248852,952,0.4750955
26,3,4,286,0.21763663,939,0.2594581
27,4,1,38,0.083004646,237,0.19711411
28,4,1,39,0.23078044,237,0.1778396
29,4,1,360,0.9619239,150,0.0428106
30,4,1,439,0.82763624,0,0.0
31,4,1,509,0.6476489,237,0.9677313
32,4,1,541,0.67864716,193,0.31366906
33,4,1,670,0.8860229,198,0.012328991
34,4,2,61,0.65102977,285,0.5714253
35,4,2,129,0.29376957,283,0.462084
36,4,2,150,0.7104856,292,0.55191904
37,4,2,159,0.09197991,325,0.65938497
38,4,2,179,0.31323653,323,0.478785
39,4,2,205,0.4997889,323,0.73037976
40,4,2,279,0.057132944,283,0.81916046
41,4,2,292,0.17870669,283,0.63508177
42,4,2,293,0.2944159,283,0.44969392
43,4,2,392,0.87275463,309,0.43370435
44,4,2,532,0.79140645,325,0.64204764
45,4,2,644,0.72175205,324,0.42542672
46,4,2,686,0.6341752,285,0.645241
47,4,2,693,0.32951462,302,0.8219802
48,4,2,934,0.84978426,275,0.5301978
49,4,3,62,0.08747281,0,0.0
50,4,3,151,0.33823344,355,0.48058015
51,4,3,366,0.22612527,326,0.26297632
52,4,3,439,0.2626677,334,0.37303582
53,4,3,494,0.4619103,365,0.5876815
54,4,3,498,0.49803928,350,0.35197067
55,4,3,552,0.3359746,411,0.62227124
56,4,3,555,0.4789532,331,0.8946068
57,4,3,645,0.11067914,362,0.41704014
58,4,3,770,0.6190032,351,0.17039186
59,4,3,847,0.25324917,362,0.48931572
60,4,5,53,0.09876705,113,0.24606408
61,4,5,178,0.49948898,113,0.2692819
62,4,5,365,0.6521898,113,0.33253735
63,4,5,672,0.2880023,105,0.31085545
64,4,5,682,0.23756173,105,0.35377076
65,4,6,75,0.59771657,136,0.7741192
66,4,6,96,0.57149744,137,0.9800988
67,4,6,312,0.06288845,133,0.74797696
68,4,6,478,0.7250284,120,0.48763764
69,4,6,507,0.96694785,119,0.72445005
70,4,6,555,0.5052032,128,0.745548
71,4,6,934,0.032910217,137,0.9974603
72,4,16,105,0.7642284,455,0.26144832
73,4,16,236,0.7581225,454,0.1170432
74,4,16,247,0.99787927,434,0.5976027
75,4,16,251,0.40007803,434,0.5817834
76,4,16,294,0.2430966,428,0.087352075
77,4,16,366,0.7593191,427,0.27452773
78,4,16,368,0.44857708,427,0.2083152
79,4,16,369,0.08068197,427,0.16879421
80,4,16,755,0.7612937,428,0.16024853
81,8,11,26,0.092587166,294,0.35998377
82,8,11,53,0.0047624675,291,0.43830153
83,8,11,71,0.013443254,281,0.21521057
84,8,11,93,0.650986,281,0.8086868
85,8,11,98,0.53212106,294,0.8688759
86,8,11,114,0.0,294,0.48607793
87,11,10,7,0.16865818,110,0.84094614
88,11,10,21,0.67741823,181,0.37815592
89,11,10,226,0.11519367,131,0.5458976
90,14,16,31,0.184799,256,0.6243208
91,14,16,51,0.6391108,257,0.70172864
92,14,16,68,0.12063409,464,0.23467037
93,14,16,131,0.54972816,311,0.28034893
94,14,16,159,0.8395801,237,0.17104825
95,15,16,11,0.7517483,409,0.7055074
96,15,16,28,0.15195204,420,0.35291025
97,15,16,28,0.95933336,420,0.5245747
98,15,16,30,0.0009259204,420,0.532609
99,15,16,159,0.99552613,481,0.269421
100,15,16,175,0.1421093,396,0.55391705
